,Unnamed: 0.1,Column1,Unnamed: 0,path,before_sentence,after_sentence
0,0,0,0,000.mp3,['รเรียบร้อย   แมค แงร์ ก็ ไม่ ระว่า มอง บอก ม่า เลย   โดวย ยา   สดูม กู'],เรียบร้อย แม็คยังไงก็ไม่รอด ผมบอกไว้เลย เห้ยอย่า รุมกู
1,1,1,1,001.mp3,['ดู ความ รวย ของ เธอ ก่อน   ผม มา ใช้ โทรศัพท'],ดูความรวยผมซะก่อน ผมอ่ะใช้โทรศัพท์
2,2,2,2,002.mp3,['สาม เครื่อง เวลา เลยะ นา เวี ออะ   แต่นะ เครื่อง นี่ คานนั่ง หนึ่ง แสน บอก เลย อะ'],สามเครื่องอ่ะเวลาเล่นอาโอวีอ่ะเออ แต่ละเครื่องนี่ เครื่องละหนึ่งแสน กูบอกไว้เลยอะ
3,3,3,3,003.mp3,['ด้วย บ้าว   โหู ใช้ซึ่ง สอง'],เป็นไง รวยป่าว โห่ อิจฉาอ่ะดิ ซื้อสองเครื่อง
4,4,4,4,004.mp3,['เรื่อง นี้ นะ ฮัสั่ง มาจาก นอกก นะ   เมือ ไทย ไม่ มี ขาย นะ   แต่ ผม ชอบใช้ เรื่วงนี้ เลย รับ'],เครื่องนี้นะฮะสั่งมาจากนอกนะ เมืองไทยไม่มีขายนะ แต่ผชอบเครื่องนี้เล่นนะ
5,5,5,5,005.mp3,['นีเวลับ ของ ใช้  ได้รับ ผม เต็กเก่ง มาก นองเวลา ของ ใช้ คงนี้ ได้ หละ   ลา ผม เล่ น แบบ   ใช้ ตีนเล่นมองว่า เธะ ใช้'],ปกติเวลาผมใช้เล่นอะ ผมจะเก่งมากนะเวลาผมใช้เครื่องนี้เล่นอ่ะ เวลาผมเล่นแบบ ใช้ตีนเล่น
6,6,6,6,006.mp3,['ร้ สอง เครื่อง นี้ เลน น ไหบะนะท   อ้า  เละทาวี ได้ นะ   ไอ้ มัย หู่ลื่น'],ใช้สอ
7,7,7,7,007.mp3,['เอพี เอส นี่ คูด เยอ อะ   ไม่ แห ลก เลือขึ้น ในือ อ่า สอง เครื่องย่า'],รู้ป่าวเอสพีเอส นี่โคตรเยอะอะ ไม่แลคเลยเครื่องเนี้ย สองเครื่องเนี้ย
8,8,8,8,008.mp3,['า ไม่ รู้ หรอกว่าง   รวย ห้อง นี้ แน่น้อง เออ   วู เมื่อหวาน ก่อ'],ไม่รู้หรอกว่า รวยก็งี้แหละน้อง โห้ว เมื่อวานก็
9,9,9,9,009.mp3,['มง คี ฟ น้า ไป จัก  ใบ ดัง มา แดง ที่ ทหาร นะ   แต่ รู้บ่า  ดหู จะ บอก   เมื่อวัน'],มึงคีฟน้า ไปจับใบดำ ใบแดง ที่ทหารนะ แต่มึงรู้ป่าว เดี๋ยวกูจะบอกนะ
10,10,10,10,010.mp3,['ไป ถึง กลุม  ที่ รัดตอน จับ ไป ด้ม มะดา   เขา รู้ ว่า ผม เป็น ลูก แคร ข้อ ผูง ใหญ่อือ   ผม พูด วลย'],ไปถึงกรมใช่ไหม ตอนจับใบดำ ใบแดงอ่ะ เขารู้ว่าผมเป็นลูกใคร พ่อผมใหญ่ เออ ผมพูดไปเลย
11,11,11,11,011.mp3,['มะน นู ป่า กู รูก ไข้   เหรอ   ไม่ บัว ทัง โกง มา เมื่อวาน ทาหาร'],มึงรู้ป่าวกูลูกใคร เออ แม่งกลัวทั้งกรมอ่ะ เมื่อวานทหารอ่ะ เออ 
12,12,12,12,012.mp3,['พ่อ มา เป็น ยศ กองคล นั่น ข้าย  ข้าย ค็ กรัว ไว้ ใช่ ระ   เอ้อ เบื่อ เยย'],พ่อผมเป็นยศจอมพลนะ ใครใครก็กลัวใช่ป้ะ เออ เบื่อจริงจริงเลย
13,13,13,13,013.mp3,['กปะ นะ   ผม ก็ เลย แบบ   ยังไง อะ  นั่ง มือ เฉย ฮะ  แน้ว เต็   อยูดี ก็ จั ด้ ไป นาม  ห'],ปานะ ผมก็เลยแบบ ยังไงอ่ะ นั่งอยู่เฉยนะ แล้วก็ อยู่ดีก็ จับได้ใบดำเลยอ่ะ เออ
14,14,14,14,014.mp3,['โยค ดีแว เดย ไม่ ได้ เป็น ทหา ในี   หูท้า มุ่ม เป็ น้าหาญ กว่า นี้ นะผม หยุด'],โชคดีอ่ะเนาะ เลยไม่ได้เป็นทหารไง โว้ย ถ้าผมเป็นทหารกว่านี้นะ ผมยศ
15,15,15,15,015.mp3,['คนทู แล้ว   เอา เจีย นะ   ถ้า ผม ได้ เป็น ทาหาร แล้ว เข้าไป ใน โกล ใหมะ นะ   เออมู มาน ก ไ'],พลโทแล้ว เอาจริงจริงอ่ะนะ ถ้าผมได้เป็นทาหารแล้วเข้าไปในกรมอ่ะนะ เออ เมื่อวานเข้าไป
16,16,16,16,016.mp3,['าจาก นก โคน ไต เหนืออือ   หู มวน ก็ มี คนมา  ลุง ต่อย ของ รับประมาง'],จากนะคนเต็มเลยอ่ะเออ โห่เอ้ย เมื่อวานก็มีคนมารุมต่อยผมนะ ประมาณ
17,17,17,17,017.mp3,['สาม คน  เอา หู ไม่ ลุง   ผม ซะนา ยงหลาย นะ สาม คน เมื่อหวาน นะ เออ  ก็ จอก'],สามคนนะ เอาผมไม่ลงอ่ะ ผมซัดหน้าทีเดียวหงายนะ สามคนเมื่อวานนะเออ กระจอก
18,18,18,18,018.mp3,['ดู ดู   มื่อ เรา สะ ดด พิทาก เลย อีกกว่า'],ดู ดู โห มึง จะยังสไลด์ผิดทางเลย ไอ้ควาย
19,19,19,19,019.mp3,['นักควาะ ศาลไลค์ ปิทาง ใ  ต้อง ธมกิ   ผม มี ผาวา เลย นั่นแหละ   ไอ ชู เล่ม'],นาคอส สไลด์ผิดทา
20,20,20,20,020.mp3,['ทียั มี ฉัน โง โง่ หะ'],ทีมมีแต่โง่โง่ จังวะ หึ เจอ
21,21,21,21,021.mp3,['เมื่ จะ ทีม รควารู้   โควตรเบื้อ และ เดีอ รอ เจอ ผม ดัำ รัง จะ หน'],เจอแต่ทีมควายควายนี่ โห้ว โคตรเบื่อเลยอ่ะ เดี๋ยวรอเจอผม เดี๋ยวรอเจอผม จ้ะ
22,22,22,22,022.mp3,['เฮย ให้ มัน โซโล อยื่อม ทะโล อยู่ น้ำ ชม   เอา ดี้ แหวน ใวหน้านตาลย ผวกรัะ   เหมืน น่าจะ ได้ แบน นัก'],เห้ยให้มันโซโลอยู่โซโลอยู่ท่านผู้ชม เอาดิแวน แวนน่าจะตายผมนะ ผมน่าจะได้แวนนะ
23,23,23,23,023.mp3,['โดยอยีา คร่อำ ชม รู รู  รูลก วิ แว์ จะ หนีบ หัว ไว้ ดียนี้น นา แวน ใต้'],เห้ยอย่า นี่ท่านผู้ชมดู ดู ดู เห้ยแวนจะหนีผมอ่ะ แวนจะหนีไปไหน แวน ตายสิแวน
24,24,24,24,024.mp3,['อ้วยห้ย   ติ ว่า'],จะตายอยู่แล้วอะ หู้ว ไอ้เหี้ย หึ้ย ไอ้ควาย แม่ง
25,25,25,25,025.mp3,['แน่กะ ตาย ระ   เดี๋วดี้'],แม่งจะตายอยู่แล้ว ไอ้เหี้ย 
26,26,26,26,026.mp3,['เรา จะ ตาย แล้ว   ไม่ อ ยิ่ง นี้ จะ โยมาก'],เราจะตายอยู่แล้ว แม่งเอ้ย อีกนิดเดียวอ่ะ
27,27,27,27,027.mp3,['เอ้ย มัน ไม่ ได้ วะ   หู   แม่ง   จก ไม่ รี่บกู ไน่ ไหว นอง เโจ๊า'],ทำไมมันไม่ได้วะ หู้ว แม่งเสือกไม่ได้หยิบกูเล่นไวเลดมึงเจอ
28,28,28,28,028.mp3,['โมโห่ แล้ว น่ะ   อู   เดี๋ยว ด้หลืม ง เจอ กู ไว่แหวน'],โมโหแล้วเนี่ย หู้ว เดี๋ยว เดี๋ยวมึงเจอกูไอ้แวน ถือว่ามึงรอด
29,29,29,29,029.mp3,['ายู มัง เก็ะ ซูบ บี้   มัน เขี้ยว  หมอ ไม่ ถู ก วะ หม   เป็น คน ที่ หมานไส้ แล้ว'],อยู่เมื่อกี้ เสือกมีอีก หมันเขี้ยว ผมบอกไม่ถูกอะ ผมเป็นคนที่หมันไส้เวลาเล่น
30,30,30,30,030.mp3,['โอเค   แลก ดี ละ   ดอ กลอง พม ได้ ดับ ฟาน หนัวา ของ ป่า ที่ ใหม่ รั'],เนี้ย โอเค ผมได้อัลติละ เดี๋ยวรอผมได้ดาบฟาร์มหรือว่าของป่าชิ้นใหม่ก่อนนะ
31,31,31,31,031.mp3,['ดอ บวก กลาบ ดาก ทารอน น กงกันตรี รืง เพื่อนเรื้ อำ มัน ไว้ ทิงไม้จริง ห นี้ ผม พูด จริง ย น่ะ'],แล้วบวกกับดาบทาลอนอะ ผมจะตีให้เพื่อนดูดให้มันไวจริงไวจริง อันนี้ผมพูดจริงเลยนะ
32,32,32,32,032.mp3,['เอา ไง จะ   โดย ใช่ ซีซิฟิส   ดึง มัน   จะด สีย ื้ ให้ น พริง สวย ตัน มิด'],เอาไงจ้ะ เห้ยเซฟิส เซฟิส ดึงมาดิ เซฟิส สวย เซฟิส เซฟิส
33,33,33,33,033.mp3,['า ดึง   เอ้ย   ธัน ไป หมา ถูง ช่วยดี   เอา อะ เดี๋ยว  นั้น   เอา รอป เรา น้อกแ้ว ไป'],อ่าวดึง เอ้ย เซฟิสมา ผมช่วยดิ้ อ่าวอัลติให้แล้วเพื่อน เอ่าล็อกแล้วล็อกแล้ว ฆ่าดิ
34,34,34,34,034.mp3,['นไค่ บ้อย นี่ มาว'],นี้ โห้ว ไอ้ควาย โง่ชิบหาย โห้ว
35,35,35,35,035.mp3,['งี่ มั ใกล้ ลุม พวก มุณ ไม่ เข้า ออก มา เกี๊อะ   หู ไ่ ดืม ขจ้ง กู  พู้ ทัก มัน กา   กู'],กูล็อกให้รุม พวกมึงไม่เข้าอ่ะ เมื่อกี้ โถ่เอ้ย เดี๋ยวมึงเจอกูเดี๋ยวมึงเจอกูเดี๋ยวมึงเจอ
36,36,36,36,036.mp3,['ควาย จหายรู้   ฟานี้ ปน ทัำ เอร์ อีก นี่ หรึ'],ควายชิบหาย โห้ว ฝ่ายนี้ก็ทำเอ๋อไอ้โง่ เล่นโง่โง่
37,37,37,37,037.mp3,['มี การ มา ฟาง และ คว้า ยู อยู เฉย อีก'],มีการมาฟาร์มอีนะไอ้ควาย ยืนอยู่เฉยเฉยอีก เดี๋ยวเดี๋ยว
38,38,38,38,038.mp3,['ฟา ของ ราหู ไม่ ไหว ะ   ดับฟาง ผม ก็ ยัง ไม่ ได้ และก็ ยังไม่ ได้ นะ   บวก ยัง ม ค่อย'],ฟาร์มเอาของก่อน ผมไม่ไหวแล้ว ดาบฟาร์มผมก็ยังไม่ได้ อะไรก็ยังไม่ได้นะ บวกยังไม่ค่อยได้หรอก
39,39,39,39,039.mp3,['ใส แวน์ นีอยู่ ทันนี บุม เข้าแม่   นั้นจะ ไม่ ปาก ดี   โอเค   ฉัณ ไป หนัง มดหร้อ'],แรก เดี๋ยวไอ้แวนยังอยู่แถวนี้ ผมเข้าแม่งเลยนะ ถ้าแม่งปากดี โอเค มันไปไหนหมดวะ
40,40,40,40,040.mp3,['มี อิ วิล่า  กลัว ส ไป เนะ เงียบ กน ไต นะ   ไม่ ฝัน กู'],มีอีวีร่า กวนส้นตีนนะ มึงอย่ากวนตีนนะ แม่ง ตั้นกู
41,41,41,41,041.mp3,['แล้ว มันหาจ ไป ไตก โขม มา เนี้ยัง   มออก มอดีนึ่ง'],วีร่า แล้วมันหายไปไหนกันหมดวะเนี่ย มึงออกมาดิ มึงเล่นหรือมึงซุก
42,42,42,42,042.mp3,['หู หัวจ ใคร วัแม่  เล่น ซุก หิว ะ ขาย'],หัว ทำไมวะ แม่งเอ้ย เล่นซุกหัวชิบหาย
43,43,43,43,043.mp3,['ย แหวน ใน แวน อีก วาย โรย พบมอย แมน   การ นี้ ถือ กลัว มุ้องหนี ไม่ พวร เร้บ คน นะ'],ไอ้แวน ไอ้แวน ไอ้ควาย ไอ้ตวายแวน กระหรี่เห็นกูหรอ มึงหนีไม่พ้นแล้ววันเนี้ย
44,44,44,44,044.mp3,['ค้ นี ไม่ คน แล้ว บอก ไม่ เลย   บอก ไห้ เลย หนี ไม่ พ้น นาย เค้า หนี ไม่ พ้น  หรืช'],มึงหนีไม่พ้นแล้วบอกไว้เลย บอกไว้เลยหนีไม่พ้น ยังไงก็หนีไม่พ้น เห้ย ผมจะตาย
45,45,45,45,045.mp3,['ไม่ เป็นไล หง ไม่ ตาย   อ่า งู   เลย ไง่ อ   เฮิ่ม   เด ส ซี ไวร์ ล้วย'],ไม่เป็นไรผมไม่ตายหรอก ไอ้โง่ เป็นไง ฮ่า ได้คิลแวนเว้ย
46,46,46,46,046.mp3,['คุณ เรื่อม ตี แล้วตนน้าจ ขอัวาป้อง เลย ละกัน   ต้อง แหละ ป้อง มัน บ้าน ออก มา ยั้งแพ้ นะ   นายุ เรื่อง กริง'],ผมเริ่มตีนแล้วตอนเนี้ย แต่ผมเอาป้อมเลยละกัน ต้องแลกป้อมกันบ้าง ไม่งั้นแพ้นะ อันนี้เรื่องจริง
47,47,47,47,047.mp3,['ได่ แมท เจอะ บีหมา ผม ไม่ ยา  ฮู   ด้วยด้วย'],ไอ้แมคจะบินมาหาผมอีกอ้า หู้ว หึ่ย หึ่่ย หึ้ย
48,48,48,48,048.mp3,['ฮั   ดีเฮีย   ดิด ถัว กรูง รษั'],อือ อื้อย  ไอ้ตัวโกงไอ้สัด
49,49,49,49,049.mp3,['ตัวโปง ที่ ผายได้ หัวร้อน'],ตัวโกงชิบหายเลย หัวร้อนวะ
50,50,50,50,050.mp3,['หนม ตรู หรือ มเติม โอเค ของ ได้ ละ ความ กินแลก ฮะ'],ก็ร้อน หู้ว เดี๋ยวมึงเจอ เดี๋ยวมึงเจอ โอเค ผมได้ดาบฟาร์มชิ้นแรกละ แม่ง
51,51,51,51,051.mp3,['เอ๋ย   บิล มหา คง เฉวย เลย   เว๋ย   ย่าง เจอ กวย ม้ ไป แม   กวน ไป เนี่ ไหม'],เอ้ย บินมาหาผมเฉยเลย เว้ย มึงเจอกูไอ้แมค ไอ้แมค กวนตีนใช่ไหม
52,52,52,52,052.mp3,['นึง บน ไป ใช่มะ   ดาวร้อง ของ ลง ก หวาด ลง บอก ได้ ภก นี้แหละ   แต่ เรา รู้ กัน เลย นึงหนึง ใข'],กวนตีนใช่มะ เดี๋ยวรอของผมก่อน ผมบอกได้แค่นี้แหละ เดี๋ยวเรารู้กันเลย หนึ่งหนึ่ง ใคร
53,53,53,53,053.mp3,['ก็ได้  ว่  คุณ ดู ทางบ้าน ยับ เจอ ผง ก็ได้ นะ   แล้ เนื้ ว่า แล่ จริง หรือว่า เจ๋ง เจี้ย'],ก็ได้หรือว่าคนดูทางบ้านอยากเจอผมก็ได้นะ ถ้านึกว่าแน่จริงหรือเจ๋งจริงอ่ะ
54,54,54,54,054.mp3,['เฮ  กำคง จะ ไม่ แข็ง ที่ ย เมริกานะ   ก็ อยูา ลืม ไป เชียว ขง ธฎการ์   ผม ชนะ กั'], exit
55,55,55,55,055.mp3,['ขัน นะนี้ ไง   เข ร้ว อบ เลย วะ   หอ   การขัน ที่ พุ่นพานะ้น   ได้ ช่วย ลงมา ไง'],การแข่งขันอั้นนี้ไง เข้าเรียกอะไรวะ อ๋อ การแข่งขันที่พึ่งผ่านมา ผมได้ถ้วยรางวัลไง
56,56,56,56,056.mp3,['ถั๋วใหญ่ เหอว่า จะ บิน ไป ห้าว่าย นะ คืน แล่ นะ   มี ธุรา'],ถ้วยใหญ่ โถ่เอ้ย ว่าจะบินไปฮาวายอ่ะนะ คืนนี้นะฮะ ทีธุระอ่ะ
57,57,57,57,057.mp3,['ัง ไป ทาม น่วน  ดวน เป็น ทุรักษ์ ของ คุณรวย   เข้าใจ ึถู วัย ที่ เข้า ของ นัน ฉนสง'],ต้องไปทำด่วนด่วน มันเป็นธุระของคนรวยเข้าใจผมด้วย โอโห ไอ้นี่เข้าผมแล้วครับ ท่านผู้ชม
58,58,58,58,058.mp3,['เอา เยาว์ ยิ่ ของ เข้าล   รู รู้ รู้้   โห่ตาย   บอก เร่อง เดี๋ยวตาย   ของ เตี๋ยว'],อ่ะ เอาดิ เอาดิ ผมเข้ามันได้นะ ดู ดู ดู ดู โอโห ตาย บอกได้คำเดียวว่าตาย ผมตีโคตรเร็วดูดิ
59,59,59,59,059.mp3,['ทมู เรื่อด อโออู เล็กร้อย   แซฟวิส ไย่ โง่ อย่า มา เล่น กับ ผม มม บอก ้ เลย'],แถมดูดเลือดอีก โอโห เรียบร้อย เซฟิส ไอ้โง่ อย่ามาเล่นกับผม ผมบอกไว้เลย 
60,60,60,60,060.mp3,['มอย่ง ไม่ เล่น กับ ผม   ผม รม ตี เร ย ไว้ ม  เพื่อ รู ริ   อาน นา ฟาน ทาลอน นัะ   ยิ่ ต่อไป มม ดั ขึ้น'],อย่ามาเล่นกับ ผมต้องตีเร็วให้ตั้น เพื่อนดูดิ อ่า ดาบฟาร์ม ทาลอน ชิ้นต่อไปที่ผมจะขึ้นน่ะ
61,61,61,61,061.mp3,['เหืย หลัก  จะ ทาลอ ไม่ ใช่ ดักฟาง   เรียก ผิด จนเนย กลับบ้าน อัา เลื่อย กว่า ผม พยะ เกะส เค้วย ไง'],เห้ย ดาบ ดาบทาลอน ไม่ใช่ดาบฟาร์ม เรียกผิดจังเลย ผมกลับบ้านเอาเลือดก่อน ผมพายามจะเซฟตัวเองให้มาก
62,62,62,62,062.mp3,['ยาก ที่สุด นัก   เลา หน จะ ไม่ ตาย และ หม สัญญา เลย   เต้า ผมตาย   ผม จะ ยอม'],ยากที่สุดนะ แล้วผมจะไม่ตายแล้ว ผมสัญญาเลย ถ้าผมตายนะผมจะยอมเอา
63,63,63,63,063.mp3,['ก้อน ท ทุกข์ โทรศัพท์ นี้ ทิ้งแล้ว   เพื่อ ผม ซื้อ มา ซับท์ใส แนะ เครื่องและ ออกบอก ราคา เจน เต็ม ก็แหละ'],ค้อนทุบโทรศัพท์นี้ทิ้
64,64,64,64,064.mp3,['โอเค  า   เรา ฟา ฝาน อุนาคต เล่น งู่ มาก เลย นะ'],โอเค เดี๋ยวไปเอาบัฟฟ้ามัน นาคอสเล่น โง่มากเลยนะ 
65,65,65,65,065.mp3,['เสือก อยาก กังมะเล่น   ไอ้ ว่าย   โดย หรือ ลืม วิ่ง ไป่ แล้ว นะ'],เสือกอยากจะมาเล่น ไอ้ควาย ดูดิดูดิ วิ่งไปไหแล้วนั่น หู้ว
66,66,66,66,066.mp3,['เค้ก บ ได้ คม ไม่ สวน นักผม แยก เมะ   เฮ้ย   ดีลา   อัขา มา ริ มี เวิลล่า นป่าเพื'],โอเค ผมได้ละ ผมไม่สนอ่ะ ผมแยกหมดอ่ะ เห้ย วีร่า เอาดิ เอามันดิ เห้ย วีร่าในป่าเพื่อน
67,67,67,67,067.mp3,['เขา มา เอา นะ คะ เก้าลิ๊   วิล้ายเวลา วิลาด ไป ยาง อู่ วิรามะหนี'],เพื่อนว่าไงเข้าป่าว นาคอสเข้าดิ วีร่า วีร่า วีร่าว่าไง โห่วีร่ามัน มันหนีวะ
68,68,68,68,068.mp3,['เดอะ ใด เดย์   หู ยัง ไม่ คับ น้ำ คย เข้าดี   กวาล อ่ะ'],เดี๋ยวใจเย็น ใจเย็น ผมยังไม่เข้า นาคอสเข้าดิ กลัวอะไรอ่ะ โถ่เอ้ย
69,69,69,69,069.mp3,['ม ที่ ล้ะคญ ออกควาในี มี วิราน ละ   ปาล รี เตี๋บว ผม รอ นะ   สุมรอง มี เวลาก ใน ปลา อยู่'],เอาดินาคอส นาคอส นี่นี่ วีร่า วีร่า เอาดิเดี๋ยวผมรอนะ ผมรอ มีวีร่าอยู่ในป่าอยู่
70,70,70,70,070.mp3,['วิลา หาย ว่า   อไร่ ว่า   คู่ ทิ นี่ ป๊อต จะ มัย หนี้'],วีร่าหายว่ะ อะไรวะ หู้ ไอ้นี่ป๊อดจังเลย หนีว่ะ
71,71,71,71,071.mp3,['มัน หาย ไป ทังหมด ว่า เพื่อน   โด้ย มอง ออกาง นี้ มอรอกาน นิ   มี ยัยเวน ไทเวน ไอเว้น   วิลล่า ก้อง อยู่'],มันหายไปกันหมดวะเพื่อน เห้ย มาออลกลางดิ มาออลกลางดิ นี่ ไอ้แวน ไอ้แวน ไอ้แวน วีร่าต้องอยู่แถวนี้
72,72,72,72,072.mp3,['มี พิลาษน ของ เฉว วีล่าเอ๊ย รุ่มหนี่ แล้   ผง จะ ตาย ว'],นี่ วีร่า ผมเจอวีร่าละ เห้ย ผมหนีแล้ว ผมจะตายว่ะ 
73,73,73,73,073.mp3,['ย่า ยายาก   โพ วิลาก นี้ มา เลย ลี้ มา เลย   แต่ พวก งู้หิวจัน'],อย่า อย่า อย่า โห่ วีร่า บลิ้งมาเลย บลิ้งมาเลย ไอ้พวกโง่ หิวจัด
74,74,74,74,074.mp3,['ย่า อาอาย อะ   พรม เนี้ย พร่ นี ละ   เหยี'],ไง อย่า อย่า อย่า อย่า ผมหนีแล้ว ผมหนีแล้ว โถ่เอ้ย อีวีร่า
75,75,75,75,075.mp3,['หนึ่ม เจอ   รูงดี นะ คูด กี้ยะกัน ของ พช แจและ คน นั งะ   ที แบบ เล่น แล้ รู้ดี ลง'],เดี๋ยวมึงเจอ รู้ดีนะ โคตรเกลียดเลย ผมโคตรเกลียดเลย คนแบบนี้ ที่แบบเล่นแล้วรู้ดี รู้มาก
76,76,76,76,076.mp3,['เดีาวจกคุง และ ทำให้ มัน งู้  ของ เริ่ม มา  ตอนแน้ว บอก ได้ คำ จอม'],เดี๋ยวเดี๋ยวผมจะทำให้มันโง่นี่แหละ ของเริ่มมาละ ตอนนี้บอกได้คำเดียว
77,77,77,77,077.mp3,['ไม่ อา กวน ไปอยู นะ หิวร่า หน ตี มาก   มาก เลย นะ'],แม่งกวนตีนนะ อีวีร่า กวนตีนมากมากเลยนะ เอาดิ
78,78,78,78,078.mp3,['เนื่องงาน โยอนขัง แล้ว   โง่  ตาย   เร่ม รียบาย   บาย   และ ก็ ตาย ละ  ดู ลี'],นั่นไงโดนขังแล้วอีโง่ ตาย บอกได้คำเดียว ตาย ตาย ยังไงก็ตายนะ ดูดิ
79,79,79,79,079.mp3,['ห   แต่ ยู เรื่อน ก็ตาลย ดี ให้ หนู   ส้นี้ แปละ ของ สูเวร์ดู รูม'],แต่ฮิลเลือดก็ตายอยู่ดีไอ้หนู จะไปหนีไปไหน ผมสู้เห้ย อย่า โดนรุมอ่ะ อย่า
80,80,80,80,080.mp3,['ั ไม่ ได้ ตอบ คึ่ง ไหม'],อย่า โถ่เอ้ย ไอ้กอก มึงเอ้ย
81,81,81,81,081.mp3,['หนุ่ม กลื เธอ   เหรอะ รู้ เรือง ของ จี ไป นนอน'],ไส้วะ เดี๋ยวมึงเจอ เดี๋ยวมึงเจอ เดี๋ยวรู้เลยของจริงเป็นไง ไอ้น้อง
82,82,82,82,082.mp3,['การ์ ตอน ไอ พวก เขา ไฟน์   ทีม โง โง่ น่ะ   ไป่ ทำ ไม่ ทำ อะไร ลย'],กลับก่อนไอ้พวกควาย ควาย ทีม โง่ โง่ เนี่ย ไม่ทำ ไม่ทำอะไรเลย
83,83,83,83,083.mp3,['อเฮ   เดา รอด อับ ฟาง ทะลน มา ก่อน อย่า รู้ เล็ม   ม ตี ไว แค่ แหล'],โถ่เอ้ย โอเคเดี๋ยวรอดาบฟาร์มทาลอนมาก่อน เดี๋ยวรู้เลยผมตีไวแค่ไหนอ่า
84,84,84,84,084.mp3,['เรียก เปิ้ลเปื้น เ้นเปิ้อก ซอย   เพราะ ดาม ตาฟาร์ม ที่ ใหม่ น้ำ มัน บวก ความเร็ว   ยี่ สิบ บาเซ็ต แ้ว'],เดี๋ยวเปิ้ปเปิ้ปเปิ้ป ซอยอ่า เพราะดาบ ดาบฟาร์ม ชิ้นใหม่นะ มันบวกความเร็ว ยี่สิบเปอร์เซนต์ นะแล้วก็
85,85,85,85,085.mp3,['ดาบทามร น้ำ มัน บวก ความ เร็ว ดวงตี  สาม สิบ  ปราไซค น้ำ เลย รวม กัน ไป ท้าสิบ ภาเษษ ของ ผู้ ปั'],ก็ดาบทาลอนนะมันบวกความเร็วโจมตี สามสิบเปอร์เซนต์ มันก็เลยรวมกันเป็น ห้าสิบเปอร์เซนต์ โคตรไว
86,86,86,86,086.mp3,['ิอะ   ดาเดา   และ พวก นี้ มัน อยู่ ไหนหมด ว่า มา ดี ที่เล็ กี่ มุ่ง มัง หนึ่ง'],จริ
87,87,87,87,087.mp3,['แล้ว ลอง ค นะ   กูเค็ม ขง โรกตี ไว้ ไน คปะ   แห้น นี้ ก็ รั้ว   ความแตกต่าง นะ'],เดี๋ยวลองก่อนนะ โอเคผมเรื่มตีไวแล้วเห็นปะ แค่นี้ก็รู้แล้ว ความแตกต่างนะ
88,88,88,88,088.mp3,['เอ๋ยย มีวีรา เมละ   รือ วิลา ผม ไป เอา แม้ง เดียว ได้ นะ   หดอง ผมม พยายา พวา กว้อง มี หวัาง  จ ไม่แพ้น'],เอ๋ย มีไอ้วีร่า วีร่า วีร่า เห้ย วีร่า ผมไปเอาแม่งเดี่ยวได้นะ เดี๋ยวผมพยายามเอาป้อมนี้ก่อน ผมจะได้ไม่แพ้
89,89,89,89,089.mp3,['เย็มส มั ได้มัน ชะลาด ดา ที่ บ๊อบ   และ วงอแวร์ บัน หรี แหนก หมด ว่า ผม ไม่  เข้าใจ'],เกม มันชนะกันที่ป้อม ไหนไอ้วง ไอ้แวน มันหนีไปไหนหมดวะ ผมไม่ค่อยเข้าใจว่ะ
90,90,90,90,090.mp3,['โอเค ได้ หลักคา ร้อน แล้ว   ดู ดู เลย เดอก ดู เลย อะ   เด่า รู้ เลย   ผม เป็น ยังไง'],โอเคได้หลังคารอนแล้ว ดู ดู เลยเดี๋ยวดูเลยนะ เดี๋ยวรู้เลย ผมเป็นยังไง
91,91,91,91,091.mp3,['เจ่ รู้ เลย   มี มี ไอแวน์ ไอแวนด์ ไอ แบดแวส ไป นะ วัด   มี แว่ น อี คันเนียน'],เดี๋ยวรู้เลยนี่ นี่ ไอ้แวน ไอ้แวน ไอ้แวน แวนไปไหนวะ นี่แวนมันอยู่แถวนี้
92,92,92,92,092.mp3,['ปรา ชม ดูดู   เอ้ย แวน แรด แรง แม้ว น่ะ กับ เพื่อนระวัง นะ   เหย    มัน โดด'],ผู้ม ดู ดู ดู ดู เห้ยแวน แวน แวน ไม่เอานะ กับเพื่อนระวังนะ เห้ย โห โดนมันโดด
93,93,93,93,093.mp3,['ห ลู๊ ดี้ย อแหวซไอเวซ อเว่นอะแว้น'],นี้ไอ้แวน ไอ้แวน เอาแวน เอาแวน ไอ้แวน
